,t,distance,speed,kinetic energy,momentum
117,4.72,10.085698091673567,32.07303329182551,636.174176,32.07303329182551
118,4.76,10.31228303258024,35.88372090300005,723.881984,35.88372090300005
119,4.8,10.356046649047782,22.614653489281512,397.337632,22.614653489281512
120,4.84,11.195306383019267,29.09370847787488,569.983712,29.09370847787488
121,4.88,10.813742591030008,35.854347005141584,768.037824,35.854347005141584
122,4.92,11.123514532565117,35.4174104268043,743.5165760000001,35.4174104268043
123,4.96,10.942626672549487,31.591560143834027,612.728,31.591560143834027
124,5.0,10.926884855061417,33.86766500420542,723.591872,33.86766500420542
125,5.04,10.957453167806937,30.327047246158145,622.4736640000001,30.327047246158145
126,5.08,10.81572564738857,31.570430135154744,644.2145599999999,31.570430135154744
127,5.12,10.875594310336476,30.76796229821434,555.2610239999999,30.76796229821434
128,5.16,11.434781304985172,31.489301990401426,661.449984,31.489301990401426
129,5.2,11.140668687444874,32.90264934421621,710.6420479999999,32.90264934421621
130,5.24,11.073137609200211,30.281499291557306,578.21728,30.281499291557306
131,5.28,10.244936384792377,31.1635578116373,625.150112,31.1635578116373
132,5.32,10.498118786834432,36.9254188308075,804.6868159999999,36.9254188308075
133,5.36,10.327976390389303,31.2746189981138,615.888448,31.2746189981138
134,5.4,9.71045132836522,27.710291058536374,467.68835199999995,27.710291058536374
135,5.44,10.341086264797498,36.98512935998413,873.197408,36.98512935998413
136,5.48,10.209018352576996,30.756437103613703,644.003104,30.756437103613703
137,5.52,10.190773533267416,37.55809663213755,830.0235519999999,37.55809663213755
138,5.56,9.981233529604047,32.003752193241105,676.773568,32.003752193241105
139,5.6,10.219205540391417,31.572853341648578,671.454272,31.572853341648578
140,5.64,10.232686764422409,36.26846494528966,803.3733440000001,36.26846494528966
141,5.68,9.6788133705972,37.14127996022743,860.724032,37.14127996022743
142,5.72,10.365056109097713,29.695337774154513,578.4253760000001,29.695337774154513
143,5.76,9.765842911043183,37.47661180447466,858.1266239999999,37.47661180447466
144,5.8,10.675073365531794,30.389799597279758,574.519904,30.389799597279758
145,5.84,10.064932818927176,33.11573216294926,714.4772800000001,33.11573216294926
146,5.88,9.707214663558839,31.977135869961536,632.3333759999999,31.977135869961536
147,5.92,9.907360945374187,35.45567530152839,787.60464,35.45567530152839
148,5.96,9.433784060151739,24.36986842088046,390.4281279999999,24.36986842088046
149,6.0,9.645482645796358,33.54204937122437,677.5220799999998,33.54204937122437
150,6.04,9.939165740668303,28.920506134575348,540.418112,28.920506134575348
151,6.08,9.862706012843523,35.01289299999884,836.2664,35.01289299999884
152,6.12,9.47767911253284,32.39366054739794,673.2151999999999,32.39366054739794
153,6.16,9.107782145614404,37.01417293520559,798.0114240000001,37.01417293520559
154,6.2,9.922381919065634,39.981914418065436,955.21744,39.981914418065436
155,6.24,9.315335443127731,29.61808974565097,599.402432,29.61808974565097
156,6.28,9.510081416491861,35.735557416157725,790.172288,35.735557416157725
157,6.32,9.676943615473139,32.7874311575216,685.276448,32.7874311575216
158,6.36,9.418489097302034,30.967608958041072,578.3154559999999,30.967608958041072
159,6.4,9.998036447254638,36.538780185819135,824.021984,36.538780185819135
160,6.44,10.049711702982151,39.10870667413232,891.491232,39.10870667413232
161,6.48,9.269365864778774,35.631861178007604,766.750784,35.631861178007604
162,6.52,10.121756823104194,32.173892097518234,674.6556159999999,32.173892097518234
163,6.56,9.997695547929906,30.707717598027056,610.859328,30.707717598027056
164,6.6,10.26785525824642,35.69787491319775,788.1443199999999,35.69787491319775
165,6.64,10.721189008480996,31.251891271949084,604.887168,31.251891271949084
166,6.68,10.486107925673794,34.13389907322343,682.502592,34.13389907322343
167,6.72,10.24827239136883,32.08867491984144,644.0378880000001,32.08867491984144
168,6.76,10.526831358739287,37.47231542942852,854.7683840000001,37.47231542942852
169,6.8,10.844671673806827,32.68276628082171,717.2207359999999,32.68276628082171
170,6.84,10.55092271872813,30.284250316076523,608.993568,30.284250316076523
171,6.88,10.832670772555481,32.79453900293983,670.7607680000001,32.79453900293983
172,6.92,10.480913756950153,29.07328039873575,569.138976,29.07328039873575
173,6.96,10.8595877151774,35.84297712613634,777.733408,35.84297712613634
174,7.0,10.514195237504442,31.091752043292512,669.643264,31.091752043292512
175,7.04,10.67306242169776,29.881550701214856,572.859552,29.881550701214856
176,7.08,10.555023056480103,34.99704570172376,780.851936,34.99704570172376
177,7.12,10.059056831365496,30.15015129488123,613.5028799999999,30.15015129488123
178,7.16,10.300189456953726,30.80182179423581,617.312544,30.80182179423581
179,7.2,9.879640239279604,35.166956075426945,752.120832,35.166956075426945
180,7.24,10.28738684456551,33.41506058692847,770.7607359999998,33.41506058692847
181,7.28,10.89649574849848,35.27115763738427,782.3640640000001,35.27115763738427
182,7.32,11.09983322546134,30.646521750690344,551.750592,30.646521750690344
183,7.36,10.77468507836743,29.21441605274302,601.229792,29.21441605274302
184,7.4,10.812464671816992,35.08206829144306,693.0587840000001,35.08206829144306
185,7.44,11.15641052978467,29.948810154058123,616.23344,29.948810154058123
186,7.48,10.376780825719411,30.09475713276904,569.428544,30.09475713276904
187,7.52,11.121628443281807,35.645453150102306,807.7988799999999,35.645453150102306
188,7.56,10.611282213440905,25.97031244360374,496.6207680000001,25.97031244360374
189,7.6,10.857545881004063,28.733997565604927,511.95491200000004,28.733997565604927
190,7.64,11.248175548806579,28.815396230411512,566.4998079999999,28.815396230411512
191,7.68,11.104609693283292,28.383627204020783,494.77209600000003,28.383627204020783
192,7.72,11.680549464179924,32.87363472434243,677.9662400000001,32.87363472434243
193,7.76,11.203116625565702,28.121731045252726,479.84691200000003,28.121731045252726
194,7.8,11.271460045970107,30.27449444895459,599.576896,30.27449444895459
195,7.84,11.490195437863541,35.96585497924634,749.7512320000001,35.96585497924634
196,7.88,10.946367129837306,31.65617861281412,643.537856,31.65617861281412
197,7.92,11.364840903777138,22.865254967107525,396.17164800000006,22.865254967107525
198,7.96,11.452681202310933,27.108150398612906,513.033728,27.108150398612906
199,8.0,11.54223052451619,23.040917943432706,397.26758400000006,23.040917943432706
200,8.04,11.349383519284956,30.21976158003065,558.861472,30.21976158003065
201,8.08,10.927491976343836,32.247433096530955,575.3888320000001,32.247433096530955
202,8.12,11.729999992055356,27.508802949766824,509.729216,27.508802949766824
203,8.16,11.196357717905155,32.14029114839128,651.1010559999999,32.14029114839128
204,8.2,11.557250357003545,31.826731707116732,617.0812799999999,31.826731707116732
205,8.24,11.610436105020076,32.39330046399923,615.8510719999999,32.39330046399923
206,8.28,11.473163921069014,24.79481857930158,418.21536,24.79481857930158
